Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
" brukarz"; "Wierzbno, małopolskie"; "Umowa o pracę na czas określony"; "MULTIBET S.C. JÓZEF ŁUKASIK & ELŻBIETA ŁUKASIK"; "2025-02-06"; 
" elektryk samochodowy "; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE SPÓŁKA AKCYJNA W KRAKOWIE"; "2025-01-10"; 
" Fryzjer damsko - męski"; "Jawor, dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-11"; 
" handlowiec"; "Kołobrzeg, zachodniopomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
" handlowiec stacjonarny"; "Golub-Dobrzyń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-02-13"; 
" informatyk"; "Piecki, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
" Informatyk"; "Chojnice, pomorskie"; "Umowa o pracę na czas określony"; "Powiatowa Stacja Sanitarno-Epidemiologiczna"; "2025-02-07"; 
" inspektor / specjalista ds. gospodarowania nieruchomościami"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "PUHiT Kraków Sp. z o.o."; "2025-02-11"; 
" Kasjer-Sprzedawca"; "Niechorze, zachodniopomorskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; "2025-02-11"; 
" Kierowca/ kurier"; "Nisko, podkarpackie"; "Umowa o pracę na czas określony"; "FIRMA HANDLOWA JANUSZ BIS"; "2025-01-10"; 
" Kierownik zespołu zmiany nocnej w logistyce spożywczej"; "Kempten (Allgäu), Niemcy"; "Umowa o pracę na czas nieokreślony"; "Dachser SE"; "2025-02-13"; 
" księgowa"; "Kraków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-01-28"; 
" Lekarz Urzędowy- Weterynarz"; "Haaksbergen, Holandia"; "Umowa o pracę na czas określony"; "Flexvet B.V."; "2024-10-29"; 
" Młodszy Operator Linii Produkcyjnej z funkcją Line feeder (młodszy magazynier)  "; "Skawina, małopolskie"; "Umowa o pracę na czas określony"; """ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
" Młodszy Operator Linii Produkcyjnej z funkcją Setter (ustawiacz maszyn) "; "Skawina, małopolskie"; "Umowa o pracę na czas określony"; """ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
" Oligofrenopedagog"; "Zakopane, małopolskie"; "Umowa o pracę na czas nieokreślony"; "POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W ZAKOPANEM OŚRODEK REHABILITACYJNO - WYCHOWAWCZY"; "2025-02-07"; 
" pomoc nauczyciela przedszkola"; "Wólka Ostrożeńska, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-10"; 
" pomocnik brukarza"; "Kamieńc, pomorskie"; "Umowa o pracę na czas określony"; "Alpi - Bruk Andrzej Prach"; "2025-02-13"; 
" Pozostali pracownicy produkcjini"; "Goleniów, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-07"; 
" Pracownik biurowy do spraw zamówień - referent"; "Lublin, lubelskie"; "Umowa o pracę na okres próbny"; "PERFEKT LUBELSKA FABRYKA OKIEN SP. Z O.O."; "2025-02-19"; 
" pracownik obsługi biurowej"; "Stalowa Wola, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
" pracownik obsługi biurowej"; "Nisko, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-20"; 
" Pracownik utrzymania czystości - oferta dla osób z niepełnosprawnościami"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; "SCARLETT ASSIST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-31"; 
" prawnik"; "Sędziszów, świętokrzyskie"; "Umowa o pracę na czas określony"; "Invest Bau Polen Sp. z o.o. Oddział Sędziszów"; "2024-12-03"; 
